code,name,prereqs
HMAN 1974O,Print and Power in Modern Southeast Asia (HIST 1962E),HIST\xa01962
HMAN 2400T,Imagining Cities: Early Modern Urban Perspectives,
HMAN 2400U,Italian Thought: Inside and Out,
HMAN 2400W,The Visual Frequency of Black Life,
HMAN 2400X,"Premodern Art-Science, or the Work of Knowing in Europe before 1800",
HMAN 2971G,The Coming Apocalypse: Between the Earth and the World,
HMAN 2971H,"Solidarities: Sharing Freedom, Inventing Futures",
HMAN 0701A,Brazilian Democracy in Literature and History (POBS 0711),
HMAN 1973W,Indigenous Politics in Hawai'i: Resurgence and Decolonization (POLS 1820I),POLS\xa01820
HMAN 1974E,Political Theology for the Anthropocene,
HMAN 1974F,Anthropology in/of the Museum (ANTH 1901),ANTH\xa01901
HMAN 1974G,"Authority, Identity, and Visual Culture in Colonial Latin America (HIAA 1631)",HIAA\xa01631
HMAN 1974H,The Human Skeleton (ANTH 1720),ANTH\xa01720
HMAN 1974I,"Contested Histories of Colonial Indochina:Encounters,Soc. Transformations,Legacies of Emp-HIST 1978D",HIST\xa01978
HMAN 1974J,Rap as Storytelling (MUSC 1240R),MUSC\xa01240
HMAN 2400P,The Idea of the University,
HMAN 2400R,Tracing Translations: Artistic Migrations and Reinventions in the Early Modern World,
HMAN 2400S,"Race, Nation, Immigration",
HMAN 2971F,Radical Borders (HISP 2520R),HISP\xa02520
HMAN 1973N,Islam in America: A Global History,
HMAN 1973P,"Neurodiversity: Science, Politics, Culture",
HMAN 1973R,Is That A Fact?  On the Function of Interpretation at the Present Time,
HMAN 1973S,"God's Law: Religion, Spirituality, and Legality",
HMAN 1973V,"How to do things with Maps: Cartography, Power, and Political Imagination, from Gilgamesh to Google",
HMAN 1973Y,Rhythm and Silence: A Creative Writing Workshop (HISP 1700B),HISP\xa01700
HMAN 1973Z,Ammianus Marcellinus (LATN 1930B),LATN\xa01930
HMAN 1974A,Cinema and Imperialism (MCM 1505S),MCM\xa01505
HMAN 1974B,"Southeast Asia’s Entangled Pasts: Excavated, Curated, and Contested (ARCH 1494)",ARCH\xa01494
HMAN 1974C,Dawnland Voices: Exploring Native New England (AMST 1902S),AMST\xa01902
HMAN 1974D,Avicenna (PHIL 1002),
HMAN 2400K,Theories of Affect: Poetics of Expression Through and Beyond Identity (ENGL 2761N),
HMAN 2400M,Philosophy and Architecture,
HMAN 2400N,"Care of the World, Between Politics and Theology",
HMAN 2970Q,Latin in America (LATN 2080F),LATN\xa02080
HMAN 1973A,"Race, Sexuality, and Mental Disability History (AFRI 1060Z)",AFRI\xa01060
HMAN 1973K,Bureaucracy: A Modern History,
HMAN 1973L,After Blackness: Framing Contemporary African American Literature,
HMAN 1973M,"Art, Secrecy, and Invisibility in Ancient Egypt",
HMAN 1973Q,Geoaesthetics and the Environmental Humanities,
HMAN 1973T,The Politics of Chinese Cinema (MCM 1204D),MCM\xa01204
HMAN 1973U,Art for an Undivided Earth: Transnational Approaches to Indigenous Activism and Art (ENGL 1711J),ENGL\xa01711
HMAN 2400G,"It’s About Time: Temporalities of Waiting in Theory, Literature, and Film",
HMAN 2400H,"Art History from the South: Circulations, Simulations, Transfigurations",
HMAN 2400J,"Archives: Histories, Practices, Theories and Formations",
HMAN 2400L,Religion and Internationalism,
HMAN 1970K,Law and Religion,
HMAN 1971R,"The First Scientific Americans: Exploring Nature in Latin America, 1500-1800 (SCSO 1701C)",STS\xa01701
HMAN 1971U,Kabbalah: An Introduction to Jewish Mysticism,
HMAN 1972M,Environmental Political Thought (POLS 1185),POLS\xa01185
HMAN 1972Z,The Cultural Significance of Copyright,
HMAN 1973E,The Age of Constantine: The Roman Empire in Transition (CLAS 1120V),CLAS\xa01120
HMAN 1973G,Writing Animals in the Iberian Atlantic (HISP 1331A),HISP\xa01331
HMAN 1973H,"Water is Life/New Currents in the Study of Land, Water and Indigeneity (ETHN 1750H)",ETHN\xa01750
HMAN 1973I,Oppositional Cinemas (MCM 1505J),MCM\xa01505
HMAN 2400A,Politics and Literature,
HMAN 2400F,Scales of Historiography,
HMAN 2971B,Kant and Mendelssohn (PHIL 2080J),
HMAN 2971E,Kinds of Others,
HMAN 0900B,Fake: A History of the Inauthentic,
HMAN 1972N,The Indian Ocean World (HIST 1979K),HIST\xa01979
HMAN 1972W,Rhythm and Resistance (AFRI 1050V),AFRI\xa01050
HMAN 1972X,"Kubrick's Work: A study of his Feature Films, Documentaries, and Photography",
HMAN 1972Y,Indigenous Peoples and American Law,
HMAN 1973B,Feminist Theory for a Heated Planet (POLS 1824N),POLS\xa01824
HMAN 1973C,East Asian Cinemas in a Global Frame (MCM 1203U),MCM\xa01203
HMAN 1973D,Sports and Culture in Latin America (HISP 1371B),HISP\xa01371
HMAN 2400B,"Trans/Passing, In Theory",
HMAN 2400D,Potential History of Photography: Collaboration (MCM 2100R),
HMAN 2400E,What Was Europe?,
HMAN 2970A,Politics Beyond the Human,
HMAN 2971C,Decolonial Methodology: Pedagogy for a New Era of Dissent and Resistance,
HMAN 2971D,Caring for the Truth,
HMAN 1972D,Art of Criticism (ENGL 1901F),ENGL\xa01901
HMAN 1972E,Architects and Planners as Transnational Experts,
HMAN 1972H,Old News: Antiquity and Current Events,
HMAN 1972Q,The Nature of Conquest: Scientific Literatures of the Americas (HISP 1330X),HISP\xa01330
HMAN 1972R,Transnational Hispaniola: Haiti and the Dominican Republic (AFRI 1050W),AFRI\xa01050
HMAN 1972S,Comparative Education: International Trends and Local Perspectives (EDUC 1030),EDUC\xa01030
HMAN 1972T,Apartheid in Post-Apartheid South African Literature (COLT 1814L),COLT\xa01814
HMAN 1972U,Feminist Thoughts for a Heated Climate (POLS 1180),POLS\xa01180
HMAN 1972V,"Sex, Gender, Empire (HIST 1979F)",HIST\xa01979
HMAN 2400C,Around 1948: Interdisciplinary Approaches to Global Transformations (ENGL 2901F),
HMAN 2971A,Latin Atlantic Epic (LATN 2080I),
HMAN 1971T,"Law, Nationalism, and Colonialism",
HMAN 1971W,"Decolonizing African Education: Student Activism and Social Change, 1960-present (EDUC 1035)",
HMAN 1972C,Picturing Paradise: Art and Science in the Americas,
HMAN 1972F,Feathery Things: An Avian Introduction to Animal Studies,
HMAN 1972G,Eternal Returns: Poetry and Politics in Modernity,
HMAN 1972I,"Me, Myself, and I: Exploring Senses of Self from a Multidisciplinary Perspective",
HMAN 1972J,Urban History of Latin America (HIST 1979L),HIST\xa01979
HMAN 1972K,Anthropology of Climate Change (ANTH 1112),ANTH\xa01112
HMAN 1972L,Reading Humanist Latin Texts (LATN 1120G),
HMAN 2970V,Aesthetics and Architecture,
HMAN 2970W,Ethics/Politics,
HMAN 2970X,Political Concepts: The Balibar Edition,
HMAN 2970Y,Race and Nation in the Spanish Caribbean (AFRI 2502),AFRI\xa02502
IAPA 0400,Fiscal Plumbing 101: The American Tax State in Comparative and Historical  Perspective,
IAPA 0900,How We Compete: The Race for Industrial Supremacy Over Time and Place,
IAPA 1200,Foundations of Security,
IAPA 1402,"Beyond Sun, Sea and Sand: Exploring the Contemporary Caribbean",
IAPA 1403,Development's Visual Imaginaries: Still and Moving Images That Shaped the Field,
IAPA 1500A,Ethnographic Research Methods,
IAPA 1555,The Political Economy of Strategy:  From the Financial Revolution to the Revolution in Military Affa,
IAPA 1700A,Program Evaluation,IAPA\xa00110POLS\xa01600SOC\xa01100ECON\xa01620
IAPA 1700B,Investigating Modes of Social Change,
IAPA 1700D,Law and Public Policy,
IAPA 1700E,Nonprofit Organizations,
IAPA 1701G,"Cultures of Survellance: Technology, Terror and Identity",
IAPA 1701I,Seeking Refuge: A Global Perspective on Refugee Displacement,
IAPA 1801K,From Growth to the Green Transition,
IAPA 1802M,Rwanda Past and Present,
IAPA 1802V,"Diplomacy, Economics + Influence",
IAPA 1804,"Diplomacy, Crisis, War in the Modern Era",
IAPA 1804B,Global Megaprojects,
IAPA 1804E,Health Policy Challenges,
IAPA 1804G,Coercion: Deterrence and Compellence,
IAPA 1804L,Colonization and Decolonization in Comparative Perspective,
IAPA 1804M,Overcoming Threats to Human Security,
IAPA 1804N,Democracy and Capitalism in the Post-colonial World,
IAPA 1810,Democratization as Metaphor,
IAPA 0110,Introduction to Public Policy,
IAPA 0200,Foundations of Development,
IAPA 0700,The Political Economy of Hard Policy Problems,
IAPA 1203,History of American Intervention,
IAPA 1205,International Law,
IAPA 1401,Economic Development in Latin America,
IAPA 1700,Economics for Public Policy,
IAPA 1701,Drug War Politics,
IAPA 1701A,Technology and Development,
IAPA 1701B,Cyber Security: Strategy & Policy,
IAPA 1701C,Power and Knowledge: The “Muslim World” in the Social Sciences,
IAPA 1701E,Gender and Capitalism,
IAPA 1701F,Wealth and Poverty in the New Metropolis,
IAPA 1702,Sex and War,
IAPA 1801,Science and Technology Policy in the Global South,
IAPA 1803,Humanitarian Response in Modern Conflict,
IAPA 1803E,Social Entrepreneurship,
IAPA 1804D,Legal Methods for Public Policy,
IAPA 1814A,Roots of Crisis in Central America,
IAPA 1816A,Senior Honors Seminar,
IAPA 1821M,War in Film and Literature,
IAPA 1850,Senior Honors Seminar,
IAPA 2000,Theory and Research in Development I,
IAPA 0300,Costs of War,
IAPA 0500,"Nationalism, Ethnicity, and the State",
IAPA 1700C,Political Communication,
IAPA 1804T,Rethinking Development's Archive,
IAPA 1805,"Inequality, Sustainability, and Mobility in a Car-Clogged World AKA: Two Billion Cars",
IAPA 1020,Pathologies of the Rich (Countries): Liberal Capitalism and its Discontents,
IAPA 1206,War,
IAPA 1804A,Iran and the Islamic Revolution,
IAPA 1804I,National Security Decision Making,
IAPA 1804J,Policing in Global Perspective,
IAPA 1804K,Political Violence,
IAPA 1804O,Life and Violence,
IAPA 1804P,Discrimination and Public Policy,
IAPA 1804Q,"French Colonialism in Global Perspective, 19th-20th Centuries",
IAPA 1804S,Critical Study of Development,
IAPA 1851,Senior Honors Thesis,IAPA\xa01850
IAPA 1050,Punishment and School Discipline: Historical Insights on the School to Prison Pipeline,
IAPA 1201A,Cyber Security: Strategy & Policy,
IAPA 1804F,The Politics of Crime and Violence in Latin America,
IAPA 1804H,Early History of the CIA,
INTL 0800,Foundations of Development,
INTL 0900,How We Compete: The Race for Industrial Supremacy Over Time and Place,
INTL 1010,Borders and Bodies,
INTL 1020,Pathologies of the Rich (Countries): Liberal Capitalism and its Discontents,
INTL 1030,"Policing, Imprisonment, and War U.S. Foreign Policy and the Carceral State",
INTL 1040,Nationalism and the Nation-State,
INTL 1201,War,
INTL 1443,History of American Intervention,
INTL 1555,The Political Economy of Strategy:  From the Financial Revolution to the Revolution in Military Affa,
INTL 1700A,International Law,
INTL 1802H,Bilateral and Multilateral Policy and Diplomacy,
INTL 1802W,International Journalism: Foreign Reporting in Practice,
INTL 1803G,Perspectives in Human Capital: Investing in Women as a Strategy for Global Growth,
INTL 1803V,Revolutions that Changed the World,
INTL 1810A,Democratization as Metaphor,
INTL 0600,Foundations of Security,
INTL 0700,"Global Health, Humanitarianism, and Inequality",
INTL 1220,Cyber Security: Strategy & Policy,
INTL 1221,Sex & War,
INTL 1802V,"Diplomacy, Economics & Influence",
INTL 1803W,Roots of Crisis in Central America,
INTL 1910,Senior Honors Seminar,
INTL 1700,International Law,
INTL 1802M,Rwanda Past and Present,
INTL 1803S,U.S.-Mexico Borderlands,
INTL 1803T,"Refugees, States, and the International System of Refugee Management",
INTL 1802Q,Iran and the Islamic Revolution,
INTL 1803,"Risk, Regulation and the Comparative Politics of Finance",
INTL 1803A,The International Politics of Organized Crime,
INTL 1803L,Humanitarianism in Uniform,
INTL 1803K,Media Wars: The Middle East,
INTL 1803R,"Minorities, Multiculturalism and Public Policy: Difference, Conflict and Accommodation",
INTL 1802D,"Religion, Politics and Society: Israel in a Comparative Perspective",
INTL 1803M,"Reassessing Contentious Politics, and Social Movements",
INTL 1803P,Grey Markets: The Illegal but Legitimate Economy,
INTL 1803Q,Spheres of Influence: A Comparative Analysis,
INTL 1803N,The Politics of Food Security,
INTL 1802Y,India in the World,
INTL 1355,Contemporary Global Politics,
ITAL 0110,Intensive Elementary Italian,
ITAL 0200,Elementary Italian,ITAL\xa00100
ITAL 0300,Intermediate Italian I,ITAL\xa00100ITAL\xa00110
ITAL 0400,Intermediate Italian II,ITAL\xa00300
ITAL 0600,Advanced Italian II,ITAL\xa00500
ITAL 0701,Simulating Reality: The (Curious) History and Science of Immersive Experiences.,
ITAL 0910,Italian EcoCinema Earth Ecologies and Cinema: The Anthro/Bio/Geo/Morphic Machine,
ITAL 1010,Dante in English Translation: Dante's World and the Invention of Modernity,ITAL\xa01610
ITAL 1020,"Decameron: Technologies of Representation, Medieval to Modern",
ITAL 1262,"Women, Gender, and Feminism in Early Modern Italy",
ITAL 1400W,Mammamia Figure Italiane Del Materno / Italian Figures of Motherhood,
ITAL 1400X,The Female Gaze in Italian Cinema,
ITAL 1620,The Divina Commedia: Dante's Paradiso: Justifying a Cosmos,ITAL\xa00500
ITAL 2050,Microhistory,
ITAL 2820,Italian Studies Colloquium,
ITAL 2970,Preliminary Examination Preparation,
ITAL 2990,Thesis Preparation,
ITAL 0100,Elementary Italian,
ITAL 0500,Advanced Italian I,ITAL\xa00400
ITAL 1030B,"Modernity, Italian Style. Class, Gender, Race, Ideology in the Cinema of the Economic Miracle",
ITAL 1260,"Truth on Trial: Justice in Italy, 1400-1800",
ITAL 1320,Great Authors and Works of Italian Renaissance,
ITAL 2100,Introduction to Italian Studies,
ITAL 2220,New Perspectives on Fascism,
ITAL 0950,Introduction to Italian Cinema: Italian Film and History,
ITAL 1215C,Illustrating Knowledge (HIAA 1101A),HIAA\xa01101
ITAL 1215A,Arts of Memory in Ancient Rome (HIAA 1308),
ITAL 1215B,Criticality and Modern Art (HIAA 1880),HIAA\xa01880
ITAL 1390,Modern Italy,
ITAL 1400U,L’aperto e Le Sue Chiusure / The Open and its Closures,
ITAL 1610,The Divina Commedia: Inferno and Purgatorio,
ITAL 2550,Gender Matters,
ITAL 1400S,Il Femminismo in Italia/Italian Feminism,
ITAL 1400T,From the Hypernovel to Paranoid Fiction,
ITAL 1400V,Nationalism and Nationalities (RUSS 1220),RUSS\xa01220
ITAL 0975,"Let’s Eat, Italy: Italian History and Culture through Food",
ITAL 1350A,Transmedia Storytelling and the New Italian Epic.,
ITAL 1029,World Cinema in a Global Context,
ITAL 1000G,Italian Identity,
ITAL 2190G,Letteratura Italiana del Novecento,
ITAL 0810,"Performing Italy - Body, Voice and Politics: a Journey within Italian Theatre",
ITAL 1340,The Panorama and 19th-Century Visual Culture,
ITAL 1431,"Truth on Trial: Justice in Italy, 1400-1800 (HIST 1262M)",HIST\xa01262
ITAL 1580,"Word, Image and Power in Renaissance Italy",
JAPN 0200,Basic Japanese,JAPN\xa00100JAPN\xa00100JAPN\xa00100
JAPN 0400,Intermediate Japanese,JAPN\xa00300JAPN\xa00300
JAPN 0600,Advanced Japanese I,JAPN\xa00500
JAPN 0800,Advanced Japanese II,JAPN\xa00700
JAPN 1010,Readings in Contemporary Japanese Fiction,
JAPN 0100,Basic Japanese,JAPN\xa00200
JAPN 0300,Intermediate Japanese,JAPN\xa00200
JAPN 0500,Advanced Japanese I,JAPN\xa00400
JAPN 0700,Advanced Japanese II,JAPN\xa00600
JAPN 1310,Japanese Linguistics: Communication and Understanding Utterances,
JAPN 0910E,Advanced Reading for Research,
JAPN 0920D,Japanese Language and Society through Contemporary Film,JAPN\xa00700
JAPN 0920A,Business Japanese,JAPN\xa00700
JAPN 0910A,Classical Japanese,
JAPN 1990,In Their Own Words: Advanced Readings in Japanese Literature and Criticism,
JAPN 0910C,Japanese Linguistics,
JAPN 0250,Advanced Beginning Japanese,JAPN\xa00150JAPN\xa00150JAPN\xa00150
JAPN 0150,Advanced Beginning Japanese,JAPN\xa00250
JUDS 0050K,"Hope, Despair, and Longing in Jewish Thought",
JUDS 1600A,"Race, Religion, and Ethnicity in the Study of Antiquity (RELS 1600A)",
JUDS 1606,Educating Bodies in Ancient Christianity (RELS 1325A),
JUDS 1614,"Heidegger, the Jews, and the Crisis of Liberalism",
JUDS 1676,Jerusalem Divided: Politics and Cultural Heritage (URBN 1870K),
JUDS 1974,"Digging for the Bible: Science, Religion, and Politics",
JUDS 0050H,Israel's Wars,
JUDS 0617,Jewish Women: Between Conformity and Agency,
JUDS 0681,Great Jewish Books,
JUDS 0830,The Bible as Literature,
JUDS 0902,History of the Holocaust,
JUDS 1690,Prophets and Priests in Exile: Biblical Literature of the 6th Century BCE,
JUDS 1713,Introduction to Yiddish Culture and Language,
JUDS 1736,Early Modern Globalization (HIST 1974M),HIST\xa01974
JUDS 0067,Jesus (RELS 0014),RELS\xa00014
JUDS 0050M,Difficult Relations? Judaism and Christianity from the Middle Ages until the Present,
JUDS 0060,The Bible and Moral Debate,
JUDS 0066,The Lower East Side and Beyond: American Jewish History 1880-2000,
JUDS 0603,"Race, Religion, and the Secular (RELS 0817)",RELS\xa00817
JUDS 0607,Defense Against the Dark Arts in the Ancient World (RELS 0290H),RELS\xa00290
JUDS 1604,The Life and Afterlives of the Apostle Paul (RELS 1330A),
JUDS 1728,Slavery in the Early Modern World (HIST 1964L),HIST\xa01964
JUDS 0050A,"Believers, Agnostics, and Atheists in Contemporary Fiction and Memoirs",
JUDS 0065,Ancient Israelite and Jewish Narrative and Artistic Image,
JUDS 1635,Problems in Israelite History,
JUDS 1726,Jewish Humor and Commercial Entertainment in Early 20th-Century Europe and America,
JUDS 1746,Renewal in 20th Century Europe (HIST 1230C),HIST\xa01230
JUDS 1753,Blacks and Jews in American History and Culture,
JUDS 0063,Antisemitism: A History,
JUDS 0606,Gender in Early Jewish and Christian Narratives,
JUDS 1603,On the Margins of the Bible: Jewish and Christian Non-Canonical Texts,
JUDS 1617,Jewish Women: Between Conformity and Agency,
JUDS 1711,History of the State of Israel: 1948 to the Present,
JUDS 1722,"Money, Power, Sex and Love: Gender and the Family in Modern Jewish History",
JUDS 1977,"Archaeology, Materiality, + National Imagination in Israel + Greece:A Comparative Approach(ARCH1425)",
JUDS 0670,War and Peace in the Hebrew Bible and its Environment,
JUDS 0682,How Bible Became Holy,
JUDS 0820,The Language of Religious Faith,
JUDS 1601,Jewish and Christian Identity in the Ancient Period,
JUDS 1625,Problems in Israelite Religion and Ancient Judaism,
JUDS 0685,"Judaism, Christianity, and Islam (RELS 0088)",RELS\xa00088
JUDS 1610,The Archaeology of Jerusalem: From the Origins to the Ottomans,
JUDS 1730,The Lower east side: Immigration and Memory,
JUDS 1733,"Early Modern Globalization: Jewish Economic Activity, 1500-1800 (HIST 1974M)",HIST\xa01974
JUDS 1801,Jewish Magic,
JUDS 1973,"God's Law: Religion, Spirituality, and Legality (HMAN 1973S)",
JUDS 1002,Targumic Aramaic,
JUDS 1670,"Ancient Synagogues, Churches, and Mosques in Palestine",
JUDS 1729,Revolution and Romanticism in 19th Century Europe (HIST 1230A),HIST\xa01230
JUDS 1750,Jews in the World of Islam,
JUDS 1696,Kabbalah: An Introduction to Jewish Mysticism (HMAN 1971U),HMAN\xa01971
JUDS 0062,Intro to the New Testament (RELS 0022),RELS\xa00022
JUDS 0602,Gender in Early Jewish and Christian Texts (RELS 0195),RELS\xa00195
JUDS 0686,The Ten Commandments,
JUDS 1820,Holocaust Literature,
JUDS 0061,"Foreigners, Refugees, and the Ethics of Minority",
JUDS 0200,Elementary Hebrew,
JUDS 0400,Intermediate Hebrew,
JUDS 0600,"Issues in Contemporary Israeli Society, Politics, and Culture in Hebrew",
JUDS 0684,Great Jewish Books (RELS 0323),RELS\xa00323
JUDS 1616,Adam and Eve in Early Biblical Interpretation (RELS 1144),RELS\xa01144
JUDS 0100,Elementary Hebrew,
JUDS 0300,Intermediate Hebrew,
JUDS 0500,Writing and Speaking Hebrew,
JUDS 0683,Jews and Money,
JUDS 1630,The Talmud,
KREA 0200,Korean,KREA\xa00100KREA\xa00100KREA\xa00100
KREA 0400,Intermediate Korean,KREA\xa00300KREA\xa00100
KREA 0600,Advanced Korean,KREA\xa00500KREA\xa00500
KREA 0100,Korean,KREA\xa00200
KREA 0300,Intermediate Korean,KREA\xa00200
KREA 0500,Advanced Korean,KREA\xa00400
KREA 1090,"Translating Korean: Fiction, Poetry & Film",
KREA 0920B,Business Korean,KREA\xa00600
KREA 0910B,Media Korean,
KREA 0920D,The Korean Vision: A Debate,KREA\xa00600
LANG 0250S,Beginning Swahili II,
LANG 1200,Archipelagic Thinking with Global Literatures,
LANG 2900,The Theory and Practice of Foreign Language Learning and Teaching,
LANG 0150S,Swahili I,
LANG 1000A,Living in Translation: Trans/national Mobilities and Multilingualism,
LANG 0200,Beginning Nahuatl II,
LANG 0100,Beginning Nahuatl,
LATN 0110,Intensive Introduction to Latin,
LATN 0200,Essentials of the Latin Language,
LATN 0400,Introduction to Latin Literature,LATN\xa00100
LATN 1060K,Seneca,
LATN 1110R,Catilines: Cicero and Sallust,
LATN 1120D,Alcuin,
LATN 1150,Latin Prose Composition,
LATN 2970,Preliminary Exam Preparation,
LATN 2990,Thesis Preparation,
LATN 0100,Essentials of the Latin Language,
LATN 0300,Introduction to Latin Literature,LATN\xa00100
LATN 1060G,Tacitus,
LATN 1110A,Apuleius,
LATN 1110I,Lucretius,
LATN 1810,Survey of Republican Literature,
LATN 1110F,Fortunatus,
LATN 1040A,Virgil: Eclogues and Georgics,
LATN 1110Y,Latin Epistolography,
LATN 1820,Survey of Roman Literature II: Empire,
LATN 2080I,Latin Atlantic Epic,
LATN 1060I,Senecan Tragedy,LATN\xa00400
LATN 1110G,Latin Love Elegy,
LATN 1120G,Reading Humanist Latin Texts,
LATN 1040B,Virgil: Aeneid,
LATN 2050,"Thebes at Rome: Ovid, Seneca, Statius",
LATN 1110B,"Augustine, Confessions",
LATN 1110E,Comedy,
LATN 1110J,Petronius,
LATN 1110S,Catullus,
LATN 2120A,Roman Epigraphy,
LATN 1110H,Literature at the Court of Charlemagne,
LATN 1110P,Lucan's Civil War,
LATN 1930B,Ammianus Marcellinus,
LATN 2080F,Latin in America,
LATN 1020D,"Cicero at the End of the Republic: Politics, Letters, and Philosophy",
LATN 2090I,Augustan Literature and Egypt,
LATN 1015,Horace's Odes,
LATN 2020G,Writing Human/Nature in the Roman Empire,
LATN 1110L,Medieval Latin Lyric,
LATN 1110O,Roman Satire,
LATN 1060H,Conquest: Caesar and Tacitus,
LATN 2010H,Varro,
LACA 0200,Beginning Nahuatl II (NAHU 0200),
LACA 0234,Modern Latin America (HIST 0234),HIST\xa00234
LACA 0650,Advanced Spanish Through Literature and Film (HISP 0650),
LACA 1020,Anthropocene with Many Accents: Environmentalizing the Afro-Luso-Brazilian Triangle (POBS 1020),
LACA 1210B,"A Migration Crisis? Displacement, Materiality, and Experience (MGRK 1210)",
LACA 1402,"Beyond Sun, Sea and Sand: Exploring the Contemporary Caribbean (IAPA 1402)",IAPA\xa01402
LACA 1503V,Health of Hispaniola,
LACA 1600,"Caribbean Popular Culture: Reggae, Dancehall, and Calypso (AFRI 1600)",
LACA 1700Q,Latinx Digital Humanities (AMST 1700Q),
LACA 1804N,Democracy and Capitalism in the Post-colonial World (IAPA 1804N),
LACA 1977I,"Gender, Race, and Medicine in the Americas (HIST 1977I)",HIST\xa01977
LACA 0021F,Popular Music and Society in Latin America (MUSC 0021F),MUSC\xa00021
LACA 0090A,The Border/La Frontera (ETHN 0090A),ETHN\xa00090
LACA 0100A,Beginning Nahuatl (NAHU 0100),NAHU\xa00100
LACA 0500,Around Latin America in 80 Days: An Historical and Cultural Journey,
LACA 0537B,Tropical Delights: Imagining Brazil in History and Culture (HIST 0537B),HIST\xa00537
LACA 0550,Intermediate Spanish for Heritage Speakers (HISP 0550),HISP\xa00550
LACA 0580M,"The Age of Revolutions, 1760-1824 (HIST 0580M)",HIST\xa00580
LACA 0630A,The Nature of Things: An Object-Oriented Approach to Lusophone Studies (POBS 0630A),POBS\xa00630
LACA 0670,Global Black Radicalism (AFRI 0670),AFRI\xa00670
LACA 0700E,Postcolonial Literature (ENGL 0700E),ENGL\xa00700
LACA 0710B,Hispanic Culture Through Cinema (HISP 0710B),HISP\xa00710
LACA 0710E,Introduction to Professional Translation and Interpretation (HISP 0710E),HISP\xa00710
LACA 0710N,A Comparative Introduction to the Literatures of the Americas (COLT 0710N),COLT\xa00710
LACA 0810,Belonging and Displacement: Cross-Cultural Identities (POBS 0810),POBS\xa00810
LACA 0850A,Queerness in Caribbean Literature (AFRI 0850),AFRI\xa00850
LACA 1210A,Latin American Politics (POLS 1210),POLS\xa01210
LACA 1310,History of Brazil (HIST 1310),HIST\xa01310
LACA 1320,"Rebel Island: Cuba, 1492-Present (HIST 1320)",HIST\xa01320
LACA 1330W,"War, Revolution and Literature in Modern Latin American Literature (HISP 1330W)",HISP\xa01330
LACA 1331K,Borges y la Literatura Fantástica (HISP 1331K),HISP\xa01331
LACA 1331M,"Race, Gender, and Sexuality in Hispanophone Caribbean Literature (HISP 1331M)",HISP\xa01331
LACA 1333,The Mexican Revolution (HIST 1333),HIST\xa01333
LACA 1401,Economic Development in Latin America (IAPA 1401),IAPA\xa01401
LACA 1420,Caribbean Imaginations: Writing and Cultural Production (AFRI 1420),AFRI\xa01420
LACA 1503W,Migration and Gender in Latin America: Crossing Borders and Bridging Disciplines,
LACA 1503X,"Regulating Bodies: Migration, Race, and Colonial Legacies in Central America",
LACA 1505A,Haunting Childhood and Social Justice in Latin America,
LACA 1701,Drug War Politics (IAPA 1701),IAPA\xa01701
LACA 1762M,Caribbean Literature (ENGL 1762M),ENGL\xa01762
LACA 1800C,"Constructing Men, Projecting Masculinity: Questioning Gender, Sex, Sexuality in Brazil (POBS 1800C)",POBS\xa01800
LACA 1822,"Dada and Surrealism: Anarchy, Exile, Alterity (HIAA 1822)",HIAA\xa01822
LACA 1900,Preparation for Honors and Capstone Projects on Latin American and Caribbean Topics,
LACA 2600I,Modern and Contemporary Brazilian Poetry (POBS 2600I),POBS\xa02600
LACA 2880,Race and Architecture (HIAA 2880),HIAA\xa02880
LACA 0281,Digital Dress: Brazil Cinema on the World Stage (POBS 0281),POBS\xa00281
LACA 0673A,Colonial Encounters in the Early Atlantic (HIST 0673A),HIST\xa00673
LACA 0720,Ecological Imperialism (ENVS 0720),ENVS\xa00720
LACA 0730,Encounters: Latin American in its Literature and Culture (HISP 0730),HISP\xa00730
LACA 1071,On Both Sides of the Lens: Latin American Women Filmmakers (GNSS1070),GNSS\xa01070
LACA 0577B,The US – Mexico Border and Borderlands: A Bilingual English – Spanish Seminar (HIST 0577B),HIST\xa00577
LACA 0610E,"Crisis and Identity in Mexico, 1519-1968 (COLT 0610E)",COLT\xa00610
LACA 0710I,New Worlds: Reading Spaces and Places in Colonial Latin America (COLT 0710I),COLT\xa00710
LACA 0750B,The Latin American Diaspora in the US (HISP 0750B),HISP\xa00750
LACA 0750G,Wildeyed Stories (HISP 0750G),HISP\xa00750
LACA 1030A,Comparative Education (EDUC 1030),EDUC\xa01030
LACA 1371I,From Pancho Villa to Netflix: An Introduction to Mexican Cinema (HISP 1371I),HISP\xa01371
LACA 1371L,Take My Breath Away: A Cultural History of Air in Modern Latin America's Imagination and Literature,
LACA 1371O,Mexican and Peruvian Modern Narratives (HISP 1371O),
LACA 1392,Modern Mayan Languages (CLPS 1392),
LACA 1503S,Music and Sports in the Americas,
LACA 1503T,Caribbean Feminisms,
LACA 1505,Vertical Civilization: South American Archaeology from Monte Verde to the Inkas (ANTH 1505),ANTH\xa01505
LACA 1711N,Monsters in our Midst: Reading Spaces and Places in Colonial Latin America (ENGL 1711N),ENGL\xa01711
LACA 1961S,Boom Towns: Finance and Literature in Latin America (GNSS 1961S),GNSS\xa01961
LACA 1967L,"Politics and Culture Under the Brazilian Military Dictatorship, 1964-1985 (HIST 1967L)",HIST\xa01967
